Platform,Department,Pipeline,Stage,Task Template,SLA (Hours),KPIs,Primary Tools,Automations,Approver
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Draft / Production,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Draft / Production,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Draft / Production,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,Draft / Production,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Draft / Production,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Edit / Review,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Edit / Review,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Edit / Review,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,Edit / Review,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Edit / Review,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Design & Multimedia,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Design & Multimedia,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Design & Multimedia,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,Design & Multimedia,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Design & Multimedia,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,QA / Compliance,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,QA / Compliance,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,QA / Compliance,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,QA / Compliance,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,QA / Compliance,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Publish,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Publish,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Publish,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,Publish,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Publish,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Promotion / Syndication,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Promotion / Syndication,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Promotion / Syndication,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,Promotion / Syndication,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Promotion / Syndication,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Performance Review,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Performance Review,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Performance Review,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,Performance Review,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Performance Review,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Social & Community,Social & Community Pipeline,Calendar Planning,Hashtag Researcher,2,"Reach lift, CTR change",WriterZen; Yazo; Squirrly SEO,Weekly auto-report,Social Lead
SuiteDash,Social & Community,Social & Community Pipeline,Calendar Planning,Content Scheduler,2,"On-time %, Posting errors",Pabbly; Activepieces,Auto-schedule by best-time model,Marketing Lead
SuiteDash,Social & Community,Social & Community Pipeline,Calendar Planning,Community Manager,3,"Resp. time, Engagement/user",SuiteDash; SalesNexus,Auto-escalate to support,Head of Community
SuiteDash,Social & Community,Social & Community Pipeline,Calendar Planning,DM Specialist,3,"Qualified leads, Resp. time",SalesNexus; WhatsApp CRM,Auto-create CRM lead,Sales Manager
SuiteDash,Social & Community,Social & Community Pipeline,Asset Prep,Hashtag Researcher,2,"Reach lift, CTR change",WriterZen; Yazo; Squirrly SEO,Weekly auto-report,Social Lead
SuiteDash,Social & Community,Social & Community Pipeline,Asset Prep,Content Scheduler,2,"On-time %, Posting errors",Pabbly; Activepieces,Auto-schedule by best-time model,Marketing Lead
SuiteDash,Social & Community,Social & Community Pipeline,Asset Prep,Community Manager,3,"Resp. time, Engagement/user",SuiteDash; SalesNexus,Auto-escalate to support,Head of Community
SuiteDash,Social & Community,Social & Community Pipeline,Asset Prep,DM Specialist,3,"Qualified leads, Resp. time",SalesNexus; WhatsApp CRM,Auto-create CRM lead,Sales Manager
SuiteDash,Social & Community,Social & Community Pipeline,Approval,Hashtag Researcher,2,"Reach lift, CTR change",WriterZen; Yazo; Squirrly SEO,Weekly auto-report,Social Lead
SuiteDash,Social & Community,Social & Community Pipeline,Approval,Content Scheduler,2,"On-time %, Posting errors",Pabbly; Activepieces,Auto-schedule by best-time model,Marketing Lead
SuiteDash,Social & Community,Social & Community Pipeline,Approval,Community Manager,3,"Resp. time, Engagement/user",SuiteDash; SalesNexus,Auto-escalate to support,Head of Community
SuiteDash,Social & Community,Social & Community Pipeline,Approval,DM Specialist,3,"Qualified leads, Resp. time",SalesNexus; WhatsApp CRM,Auto-create CRM lead,Sales Manager
SuiteDash,Social & Community,Social & Community Pipeline,Scheduling,Hashtag Researcher,2,"Reach lift, CTR change",WriterZen; Yazo; Squirrly SEO,Weekly auto-report,Social Lead
SuiteDash,Social & Community,Social & Community Pipeline,Scheduling,Content Scheduler,2,"On-time %, Posting errors",Pabbly; Activepieces,Auto-schedule by best-time model,Marketing Lead
SuiteDash,Social & Community,Social & Community Pipeline,Scheduling,Community Manager,3,"Resp. time, Engagement/user",SuiteDash; SalesNexus,Auto-escalate to support,Head of Community
SuiteDash,Social & Community,Social & Community Pipeline,Scheduling,DM Specialist,3,"Qualified leads, Resp. time",SalesNexus; WhatsApp CRM,Auto-create CRM lead,Sales Manager
SuiteDash,Social & Community,Social & Community Pipeline,Live / Engage,Hashtag Researcher,2,"Reach lift, CTR change",WriterZen; Yazo; Squirrly SEO,Weekly auto-report,Social Lead
SuiteDash,Social & Community,Social & Community Pipeline,Live / Engage,Content Scheduler,2,"On-time %, Posting errors",Pabbly; Activepieces,Auto-schedule by best-time model,Marketing Lead
SuiteDash,Social & Community,Social & Community Pipeline,Live / Engage,Community Manager,3,"Resp. time, Engagement/user",SuiteDash; SalesNexus,Auto-escalate to support,Head of Community
SuiteDash,Social & Community,Social & Community Pipeline,Live / Engage,DM Specialist,3,"Qualified leads, Resp. time",SalesNexus; WhatsApp CRM,Auto-create CRM lead,Sales Manager
SuiteDash,Social & Community,Social & Community Pipeline,Moderation & Escalation,Hashtag Researcher,2,"Reach lift, CTR change",WriterZen; Yazo; Squirrly SEO,Weekly auto-report,Social Lead
SuiteDash,Social & Community,Social & Community Pipeline,Moderation & Escalation,Content Scheduler,2,"On-time %, Posting errors",Pabbly; Activepieces,Auto-schedule by best-time model,Marketing Lead
SuiteDash,Social & Community,Social & Community Pipeline,Moderation & Escalation,Community Manager,3,"Resp. time, Engagement/user",SuiteDash; SalesNexus,Auto-escalate to support,Head of Community
SuiteDash,Social & Community,Social & Community Pipeline,Moderation & Escalation,DM Specialist,3,"Qualified leads, Resp. time",SalesNexus; WhatsApp CRM,Auto-create CRM lead,Sales Manager
SuiteDash,Social & Community,Social & Community Pipeline,UGC Curation,Hashtag Researcher,2,"Reach lift, CTR change",WriterZen; Yazo; Squirrly SEO,Weekly auto-report,Social Lead
SuiteDash,Social & Community,Social & Community Pipeline,UGC Curation,Content Scheduler,2,"On-time %, Posting errors",Pabbly; Activepieces,Auto-schedule by best-time model,Marketing Lead
SuiteDash,Social & Community,Social & Community Pipeline,UGC Curation,Community Manager,3,"Resp. time, Engagement/user",SuiteDash; SalesNexus,Auto-escalate to support,Head of Community
SuiteDash,Social & Community,Social & Community Pipeline,UGC Curation,DM Specialist,3,"Qualified leads, Resp. time",SalesNexus; WhatsApp CRM,Auto-create CRM lead,Sales Manager
SuiteDash,Social & Community,Social & Community Pipeline,Weekly Reporting,Hashtag Researcher,2,"Reach lift, CTR change",WriterZen; Yazo; Squirrly SEO,Weekly auto-report,Social Lead
SuiteDash,Social & Community,Social & Community Pipeline,Weekly Reporting,Content Scheduler,2,"On-time %, Posting errors",Pabbly; Activepieces,Auto-schedule by best-time model,Marketing Lead
SuiteDash,Social & Community,Social & Community Pipeline,Weekly Reporting,Community Manager,3,"Resp. time, Engagement/user",SuiteDash; SalesNexus,Auto-escalate to support,Head of Community
SuiteDash,Social & Community,Social & Community Pipeline,Weekly Reporting,DM Specialist,3,"Qualified leads, Resp. time",SalesNexus; WhatsApp CRM,Auto-create CRM lead,Sales Manager
SuiteDash,Advertising & Growth,Advertising & Growth Pipeline,Campaign Brief,Creative Split Tester,4,"CTR delta, CPA delta",Bestever; Playzo,Auto-launch variant; Auto-pause losers,Growth Lead
SuiteDash,Advertising & Growth,Advertising & Growth Pipeline,Campaign Brief,Retargeting Specialist,3,"Retarget CVR, ROAS",Pabbly; Activepieces; SalesNexus,Auto-sync audiences,Growth Lead
SuiteDash,Advertising & Growth,Advertising & Growth Pipeline,Campaign Brief,Funnel Specialist,6,"LP CVR, Pixel health",ProductDyno; SuiteDash,Auto-QA checklist,Growth Lead
SuiteDash,Advertising & Growth,Advertising & Growth Pipeline,Campaign Brief,CRO Specialist,6,"Test velocity, Uplift %",TruConversion; Smart Spreadsheets,Auto-publish winners,Growth Lead
SuiteDash,Advertising & Growth,Advertising & Growth Pipeline,Audience & Offers,Creative Split Tester,4,"CTR delta, CPA delta",Bestever; Playzo,Auto-launch variant; Auto-pause losers,Growth Lead
SuiteDash,Advertising & Growth,Advertising & Growth Pipeline,Audience & Offers,Retargeting Specialist,3,"Retarget CVR, ROAS",Pabbly; Activepieces; SalesNexus,Auto-sync audiences,Growth Lead
SuiteDash,Advertising & Growth,Advertising & Growth Pipeline,Audience & Offers,Funnel Specialist,6,"LP CVR, Pixel health",ProductDyno; SuiteDash,Auto-QA checklist,Growth Lead
SuiteDash,Advertising & Growth,Advertising & Growth Pipeline,Audience & Offers,CRO Specialist,6,"Test velocity, Uplift %",TruConversion; Smart Spreadsheets,Auto-publish winners,Growth Lead
SuiteDash,Advertising & Growth,Advertising & Growth Pipeline,Creative Build,Creative Split Tester,4,"CTR delta, CPA delta",Bestever; Playzo,Auto-launch variant; Auto-pause losers,Growth Lead
